country,study_type,phase,study_count,mean_sites,median_sites,p90_sites,absolute_max_sites
Slovakia,INTERVENTIONAL,PHASE4,112,4.65,4,9.9,21
Slovakia,OBSERVATIONAL,NA,236,5.88,1,9,167
Slovenia,EXPANDED_ACCESS,NA,7,1.29,1,2,2
Slovenia,INTERVENTIONAL,EARLY_PHASE1,3,1,1,1,1
Slovenia,INTERVENTIONAL,NA,411,1.29,1,2,21
Slovenia,INTERVENTIONAL,PHASE1,19,1.21,1,1.2,4
Slovenia,INTERVENTIONAL,PHASE1/PHASE2,14,1.07,1,1,2
Slovenia,INTERVENTIONAL,PHASE2,101,1.67,1,3,7
Slovenia,INTERVENTIONAL,PHASE2/PHASE3,15,1.07,1,1,2
Slovenia,INTERVENTIONAL,PHASE3,266,1.78,1,3,14
Slovenia,INTERVENTIONAL,PHASE4,77,1.55,1,3,6
Slovenia,OBSERVATIONAL,NA,334,2.72,1,2,182
Solomon Islands,INTERVENTIONAL,NA,1,2,2,2,2
Solomon Islands,INTERVENTIONAL,PHASE3,1,1,1,1,1
Solomon Islands,INTERVENTIONAL,PHASE4,2,1,1,1,1
Somalia,INTERVENTIONAL,NA,4,1.5,1.5,2,2
Somalia,INTERVENTIONAL,PHASE4,1,1,1,1,1
Somalia,OBSERVATIONAL,NA,2,1,1,1,1
South Africa,EXPANDED_ACCESS,NA,6,5.67,4,12,15
South Africa,INTERVENTIONAL,EARLY_PHASE1,8,1.75,1.5,3,3
South Africa,INTERVENTIONAL,NA,437,1.51,1,2,32
South Africa,INTERVENTIONAL,PHASE1,174,1.97,1,4,8
South Africa,INTERVENTIONAL,PHASE1/PHASE2,81,2.85,2,6,9
South Africa,INTERVENTIONAL,PHASE2,697,3.72,3,8,36
South Africa,INTERVENTIONAL,PHASE2/PHASE3,123,4.83,4,10,32
South Africa,INTERVENTIONAL,PHASE3,1752,5.2,4,10,41
South Africa,INTERVENTIONAL,PHASE4,193,4.65,3,11,25
South Africa,OBSERVATIONAL,NA,313,2.33,1,5,26
South Korea,EXPANDED_ACCESS,NA,20,4.75,2,11.6,19
South Korea,INTERVENTIONAL,EARLY_PHASE1,22,1.55,1,3.9,5
South Korea,INTERVENTIONAL,NA,3758,1.5,1,2,46
South Korea,INTERVENTIONAL,NA,1,1,1,1,1
South Korea,INTERVENTIONAL,PHASE1,1847,1.68,1,4,14
South Korea,INTERVENTIONAL,PHASE1/PHASE2,620,3.23,2,7,19
South Korea,INTERVENTIONAL,PHASE2,2362,3.22,2,7,26
South Korea,INTERVENTIONAL,PHASE2/PHASE3,228,4.07,3,10,23
South Korea,INTERVENTIONAL,PHASE3,3692,5.67,4,12,50
South Korea,INTERVENTIONAL,PHASE4,1550,3.3,1,9,63
South Korea,OBSERVATIONAL,NA,2984,3.18,1,6,326
South Sudan,INTERVENTIONAL,EARLY_PHASE1,1,1,1,1,1
South Sudan,INTERVENTIONAL,PHASE3,2,1,1,1,1
South Sudan,INTERVENTIONAL,PHASE4,1,1,1,1,1
South Sudan,OBSERVATIONAL,NA,6,1,1,1,1
Spain,EXPANDED_ACCESS,NA,29,14.45,8,38,83
Spain,INTERVENTIONAL,EARLY_PHASE1,57,2.44,1,6,14
Spain,INTERVENTIONAL,NA,6622,1.66,1,2,108
Spain,INTERVENTIONAL,PHASE1,1300,3.28,3,7,24
Spain,INTERVENTIONAL,PHASE1/PHASE2,969,4.43,3,9,29
Spain,INTERVENTIONAL,PHASE2,3716,5.52,4,11,94
Spain,INTERVENTIONAL,PHASE2/PHASE3,413,5.01,3,11,30
Spain,INTERVENTIONAL,PHASE3,5640,7.68,6,15,79
Spain,INTERVENTIONAL,PHASE4,1371,5.39,2,13,87
Spain,OBSERVATIONAL,NA,4260,4.78,1,13,169
Sri Lanka,INTERVENTIONAL,NA,26,1.46,1,2.5,5
Sri Lanka,INTERVENTIONAL,PHASE1,1,2,2,2,2
Sri Lanka,INTERVENTIONAL,PHASE1/PHASE2,1,1,1,1,1
Sri Lanka,INTERVENTIONAL,PHASE2,7,3.29,3,4.8,6
Sri Lanka,INTERVENTIONAL,PHASE2/PHASE3,1,1,1,1,1
Sri Lanka,INTERVENTIONAL,PHASE3,30,3.83,4,7.3,11
Sri Lanka,INTERVENTIONAL,PHASE4,7,3,3,5.2,7
Sri Lanka,OBSERVATIONAL,NA,45,1.29,1,1,11
Sudan,INTERVENTIONAL,NA,12,1.5,1,1.9,6
Sudan,INTERVENTIONAL,PHASE1,2,1,1,1,1
Sudan,INTERVENTIONAL,PHASE1/PHASE2,2,1,1,1,1
Sudan,INTERVENTIONAL,PHASE2,10,1.1,1,1.1,2
Sudan,INTERVENTIONAL,PHASE2/PHASE3,2,1.5,1.5,1.9,2
Sudan,INTERVENTIONAL,PHASE3,8,2.13,1,4.5,8
Sudan,INTERVENTIONAL,PHASE4,7,1.43,1,2.4,3
Sudan,OBSERVATIONAL,NA,31,1.03,1,1,2
Suriname,INTERVENTIONAL,NA,4,1,1,1,1
Suriname,OBSERVATIONAL,NA,4,1.5,1,2.4,3
Sweden,EXPANDED_ACCESS,NA,12,3.25,3,5,8
Sweden,INTERVENTIONAL,EARLY_PHASE1,39,1.26,1,1.2,5
Sweden,INTERVENTIONAL,NA,3138,1.66,1,3,58
Sweden,INTERVENTIONAL,PHASE1,339,1.41,1,2,7
Sweden,INTERVENTIONAL,PHASE1/PHASE2,219,1.62,1,3,12
Sweden,INTERVENTIONAL,PHASE2,1077,2.43,2,5,18
Sweden,INTERVENTIONAL,PHASE2/PHASE3,145,2.31,1,5,13
Sweden,INTERVENTIONAL,PHASE3,2137,3.64,3,7,108
Sweden,INTERVENTIONAL,PHASE4,493,3.5,1,7,65
Sweden,OBSERVATIONAL,NA,1908,1.87,1,3,56
Switzerland,EXPANDED_ACCESS,NA,24,4.13,3,8.7,11
Switzerland,INTERVENTIONAL,EARLY_PHASE1,46,1.15,1,1.5,3
Switzerland,INTERVENTIONAL,NA,3267,1.4,1,2,32
Switzerland,INTERVENTIONAL,PHASE1,443,1.44,1,3,10
Switzerland,INTERVENTIONAL,PHASE1/PHASE2,232,2.09,1,4,17
Switzerland,INTERVENTIONAL,PHASE2,985,2.54,1,5,26
Switzerland,INTERVENTIONAL,PHASE2/PHASE3,118,1.92,1,4,11
Switzerland,INTERVENTIONAL,PHASE3,1791,2.97,2,6,43
Switzerland,INTERVENTIONAL,PHASE4,602,1.79,1,3,26
Switzerland,OBSERVATIONAL,NA,2843,1.75,1,3,77
Syria,INTERVENTIONAL,NA,205,1.03,1,1,3
Syria,INTERVENTIONAL,PHASE1,2,1,1,1,1
Syria,INTERVENTIONAL,PHASE1/PHASE2,4,1,1,1,1
Syria,INTERVENTIONAL,PHASE2,2,1,1,1,1
Syria,INTERVENTIONAL,PHASE2/PHASE3,5,1,1,1,1
Syria,INTERVENTIONAL,PHASE3,9,1.33,1,2.2,3
Syria,INTERVENTIONAL,PHASE4,16,1,1,1,1
Syria,OBSERVATIONAL,NA,38,1.08,1,1,2
Taiwan,EXPANDED_ACCESS,NA,20,4.7,3,10.4,16
Taiwan,INTERVENTIONAL,EARLY_PHASE1,31,1.42,1,3,6
Taiwan,INTERVENTIONAL,NA,4028,1.15,1,1,14
Taiwan,INTERVENTIONAL,PHASE1,492,2.09,1,4,10
Taiwan,INTERVENTIONAL,PHASE1/PHASE2,310,2.69,2,5.1,11
Taiwan,INTERVENTIONAL,PHASE2,1281,3.09,2,6,16
Taiwan,INTERVENTIONAL,PHASE2/PHASE3,177,2.92,2,6,18
Taiwan,INTERVENTIONAL,PHASE3,2492,4.57,4,9,24
Taiwan,INTERVENTIONAL,PHASE4,702,2,1,5,14
Taiwan,OBSERVATIONAL,NA,2736,1.42,1,2,26
Tajikistan,EXPANDED_ACCESS,NA,1,1,1,1,1
Tajikistan,INTERVENTIONAL,NA,5,4.8,1,12.4,20
Tanzania,INTERVENTIONAL,EARLY_PHASE1,1,1,1,1,1
Tanzania,INTERVENTIONAL,NA,196,1.97,1,2,40
Tanzania,INTERVENTIONAL,PHASE1,25,1,1,1,1
Tanzania,INTERVENTIONAL,PHASE1/PHASE2,12,1.25,1,1,4
Tanzania,INTERVENTIONAL,PHASE2,54,1.33,1,2.7,3
Tanzania,INTERVENTIONAL,PHASE2/PHASE3,12,1.33,1,1.9,4
Tanzania,INTERVENTIONAL,PHASE3,86,1.28,1,2,8
Tanzania,INTERVENTIONAL,PHASE4,43,1.26,1,2,6
Tanzania,OBSERVATIONAL,NA,82,1.49,1,2,10
Thailand,EXPANDED_ACCESS,NA,11,2.45,2,5,5
Thailand,INTERVENTIONAL,EARLY_PHASE1,14,1.07,1,1,2
Thailand,INTERVENTIONAL,NA,1009,1.16,1,1,12
Thailand,INTERVENTIONAL,PHASE1,118,1.75,1,3,6
Thailand,INTERVENTIONAL,PHASE1/PHASE2,97,1.63,1,3,5
Thailand,INTERVENTIONAL,PHASE2,453,2.54,2,5,32
Thailand,INTERVENTIONAL,PHASE2/PHASE3,116,2.47,2,5,9
Thailand,INTERVENTIONAL,PHASE3,1219,3.56,3,7,43
Thailand,INTERVENTIONAL,PHASE4,442,1.72,1,3,10
Thailand,OBSERVATIONAL,NA,693,2,1,3,49
The Bahamas,INTERVENTIONAL,NA,4,1,1,1,1
The Bahamas,INTERVENTIONAL,PHASE1,1,1,1,1,1
The Bahamas,INTERVENTIONAL,PHASE1/PHASE2,3,1,1,1,1
The Bahamas,INTERVENTIONAL,PHASE2,7,1,1,1,1
The Bahamas,INTERVENTIONAL,PHASE2/PHASE3,1,1,1,1,1
The Bahamas,INTERVENTIONAL,PHASE3,5,1,1,1,1
The Bahamas,INTERVENTIONAL,PHASE4,1,1,1,1,1
The Gambia,INTERVENTIONAL,EARLY_PHASE1,1,1,1,1,1
The Gambia,INTERVENTIONAL,NA,17,1,1,1,1
The Gambia,INTERVENTIONAL,PHASE1,8,1,1,1,1
The Gambia,INTERVENTIONAL,PHASE1/PHASE2,3,1,1,1,1
The Gambia,INTERVENTIONAL,PHASE2,11,1,1,1,1
The Gambia,INTERVENTIONAL,PHASE2/PHASE3,2,1,1,1,1
The Gambia,INTERVENTIONAL,PHASE3,26,1.08,1,1,2
The Gambia,INTERVENTIONAL,PHASE4,6,1,1,1,1
The Gambia,OBSERVATIONAL,NA,22,1.09,1,1,2
Timor-Leste,INTERVENTIONAL,NA,1,1,1,1,1
Timor-Leste,INTERVENTIONAL,PHASE4,1,1,1,1,1
Togo,INTERVENTIONAL,NA,4,4.75,1.5,11.1,15
Togo,INTERVENTIONAL,PHASE2/PHASE3,2,1,1,1,1
Togo,INTERVENTIONAL,PHASE3,1,3,3,3,3
Togo,OBSERVATIONAL,NA,12,1.42,1,1.9,5
Trinidad and Tobago,INTERVENTIONAL,NA,4,1,1,1,1
Trinidad and Tobago,INTERVENTIONAL,PHASE1,2,1,1,1,1
Trinidad and Tobago,INTERVENTIONAL,PHASE1/PHASE2,4,1,1,1,1
Trinidad and Tobago,INTERVENTIONAL,PHASE2,3,1,1,1,1
Trinidad and Tobago,INTERVENTIONAL,PHASE2/PHASE3,2,1,1,1,1
Trinidad and Tobago,INTERVENTIONAL,PHASE3,2,1,1,1,1
Trinidad and Tobago,INTERVENTIONAL,PHASE4,1,1,1,1,1
Trinidad and Tobago,OBSERVATIONAL,NA,11,1.09,1,1,2
Tunisia,INTERVENTIONAL,EARLY_PHASE1,3,2,2,2,2
Tunisia,INTERVENTIONAL,NA,185,1.16,1,1,8
Tunisia,INTERVENTIONAL,PHASE1,14,1.07,1,1,2
Tunisia,INTERVENTIONAL,PHASE1/PHASE2,4,1,1,1,1
Tunisia,INTERVENTIONAL,PHASE2,39,1.97,1,4,5
Tunisia,INTERVENTIONAL,PHASE2/PHASE3,9,1.56,1,2.6,5
Tunisia,INTERVENTIONAL,PHASE3,137,2.57,2,5,10
Tunisia,INTERVENTIONAL,PHASE4,77,2.03,1,3,24
Tunisia,OBSERVATIONAL,NA,147,1.53,1,2,16
Turkey (Türkiye),EXPANDED_ACCESS,NA,18,2.22,2,4,6
Turkey (Türkiye),INTERVENTIONAL,EARLY_PHASE1,25,1.12,1,1.6,2
Turkey (Türkiye),INTERVENTIONAL,NA,12670,1.08,1,1,23
Turkey (Türkiye),INTERVENTIONAL,NA,1,1,1,1,1
Turkey (Türkiye),INTERVENTIONAL,PHASE1,87,1.95,1,3.4,10
Turkey (Türkiye),INTERVENTIONAL,PHASE1/PHASE2,86,2.93,2,7,12
Turkey (Türkiye),INTERVENTIONAL,PHASE2,550,3.76,3,7,21
Turkey (Türkiye),INTERVENTIONAL,PHASE2/PHASE3,106,4.65,3,9.5,30
Turkey (Türkiye),INTERVENTIONAL,PHASE3,1919,5.59,5,11,41
Turkey (Türkiye),INTERVENTIONAL,PHASE4,693,1.92,1,4,19
Turkey (Türkiye),OBSERVATIONAL,NA,6689,1.36,1,1,62
Turkmenistan,INTERVENTIONAL,NA,1,1,1,1,1
Uganda,INTERVENTIONAL,EARLY_PHASE1,3,1,1,1,1
Uganda,INTERVENTIONAL,NA,396,1.48,1,2,20
Uganda,INTERVENTIONAL,PHASE1,30,1.17,1,2,2
Uganda,INTERVENTIONAL,PHASE1/PHASE2,18,1.5,1,2.3,3
Uganda,INTERVENTIONAL,PHASE2,99,1.32,1,2,9
Uganda,INTERVENTIONAL,PHASE2/PHASE3,33,1.58,1,3,4
Uganda,INTERVENTIONAL,PHASE3,131,1.77,1,4,9
Uganda,INTERVENTIONAL,PHASE4,69,1.25,1,2,6
Uganda,OBSERVATIONAL,NA,159,1.64,1,2,32
Ukraine,EXPANDED_ACCESS,NA,2,2.5,2.5,3.7,4
Ukraine,INTERVENTIONAL,EARLY_PHASE1,1,4,4,4,4
Ukraine,INTERVENTIONAL,NA,120,2.19,1,5,25
Ukraine,INTERVENTIONAL,PHASE1,62,2.73,1.5,6,9
Ukraine,INTERVENTIONAL,PHASE1/PHASE2,53,3.68,3,7.8,17
Ukraine,INTERVENTIONAL,PHASE2,569,6.27,5,12,25
Ukraine,INTERVENTIONAL,PHASE2/PHASE3,69,6.49,5,14,17
Ukraine,INTERVENTIONAL,PHASE3,1546,8.15,7,15,67
Ukraine,INTERVENTIONAL,PHASE4,86,7.38,5,17,52
Ukraine,OBSERVATIONAL,NA,137,4.39,1,9,126
United Arab Emirates,EXPANDED_ACCESS,NA,1,2,2,2,2
United Arab Emirates,INTERVENTIONAL,EARLY_PHASE1,8,1,1,1,1
United Arab Emirates,INTERVENTIONAL,NA,153,1.07,1,1,2
United Arab Emirates,INTERVENTIONAL,PHASE1,7,1.43,1,2.4,3
United Arab Emirates,INTERVENTIONAL,PHASE1/PHASE2,12,1.17,1,1,3
United Arab Emirates,INTERVENTIONAL,PHASE2,19,1.16,1,2,2
United Arab Emirates,INTERVENTIONAL,PHASE2/PHASE3,9,1.89,1,4,4
United Arab Emirates,INTERVENTIONAL,PHASE3,65,1.89,1,4,6
United Arab Emirates,INTERVENTIONAL,PHASE4,36,1.97,1,4,14
United Arab Emirates,OBSERVATIONAL,NA,241,1.9,1,4,33
United Kingdom,EXPANDED_ACCESS,NA,28,6.25,3,16.5,27
United Kingdom,INTERVENTIONAL,EARLY_PHASE1,104,1.25,1,2,8
United Kingdom,INTERVENTIONAL,NA,7113,1.9,1,3,94
United Kingdom,INTERVENTIONAL,NA,1,1,1,1,1
United Kingdom,INTERVENTIONAL,PHASE1,2827,1.64,1,3,20
United Kingdom,INTERVENTIONAL,PHASE1/PHASE2,1000,3.03,2,6,31
United Kingdom,INTERVENTIONAL,PHASE2,3936,3.96,3,8,68
United Kingdom,INTERVENTIONAL,PHASE2/PHASE3,470,5.64,2,12,110
United Kingdom,INTERVENTIONAL,PHASE3,5325,7.04,5,14,180
United Kingdom,INTERVENTIONAL,PHASE4,1196,4.43,1,9,135
United Kingdom,OBSERVATIONAL,NA,6022,2.44,1,4,135
United States,EXPANDED_ACCESS,NA,469,11.71,1,33,202
United States,INTERVENTIONAL,EARLY_PHASE1,3061,1.36,1,2,234
United States,INTERVENTIONAL,NA,64190,2.38,1,3,1658
United States,INTERVENTIONAL,NA,86,1.01,1,1,2
United States,INTERVENTIONAL,PHASE1,23584,2.96,1,7,242
United States,INTERVENTIONAL,PHASE1/PHASE2,7977,5.76,1,13,482
United States,INTERVENTIONAL,PHASE2,31049,11.64,2,25.2,1409
United States,INTERVENTIONAL,PHASE2/PHASE3,2308,19.47,1,35,1201
United States,INTERVENTIONAL,PHASE3,16070,36.22,15,77,1613
United States,INTERVENTIONAL,PHASE4,10397,5.92,1,13,871
United States,OBSERVATIONAL,NA,30716,4.27,1,6,2182
United States Minor Outlying Islands,INTERVENTIONAL,EARLY_PHASE1,1,1,1,1,1
United States Minor Outlying Islands,INTERVENTIONAL,PHASE2,1,1,1,1,1
Uruguay,INTERVENTIONAL,NA,21,1.71,1,2,12
Uruguay,INTERVENTIONAL,PHASE1,5,1,1,1,1
Uruguay,INTERVENTIONAL,PHASE2,3,1,1,1,1
Uruguay,INTERVENTIONAL,PHASE2/PHASE3,2,1,1,1,1
Uruguay,INTERVENTIONAL,PHASE3,21,1.62,1,3,4
Uruguay,INTERVENTIONAL,PHASE4,7,1.14,1,1.4,2
Uruguay,OBSERVATIONAL,NA,41,1.71,1,2,22
Uzbekistan,EXPANDED_ACCESS,NA,1,1,1,1,1
Uzbekistan,INTERVENTIONAL,EARLY_PHASE1,1,1,1,1,1
Uzbekistan,INTERVENTIONAL,NA,32,1.06,1,1,2
Uzbekistan,INTERVENTIONAL,PHASE1,1,1,1,1,1
Uzbekistan,INTERVENTIONAL,PHASE2,3,1,1,1,1
Uzbekistan,INTERVENTIONAL,PHASE2/PHASE3,3,1.67,2,2,2
Uzbekistan,INTERVENTIONAL,PHASE3,8,1.38,1,1.9,4
Uzbekistan,INTERVENTIONAL,PHASE4,9,1.22,1,1.4,3
Uzbekistan,OBSERVATIONAL,NA,21,1.95,1,2,17
Vanuatu,INTERVENTIONAL,NA,2,3,3,3.8,4
Venezuela,EXPANDED_ACCESS,NA,3,1.33,1,1.8,2
Venezuela,INTERVENTIONAL,NA,28,1.11,1,1.3,2
Venezuela,INTERVENTIONAL,PHASE1/PHASE2,4,1.25,1,1.7,2
Venezuela,INTERVENTIONAL,PHASE2,5,2.4,1,5,7
Venezuela,INTERVENTIONAL,PHASE2/PHASE3,6,1.33,1,2,3
Venezuela,INTERVENTIONAL,PHASE3,61,2.13,1,3,12
Venezuela,INTERVENTIONAL,PHASE4,39,2.1,1,4.2,7
Venezuela,OBSERVATIONAL,NA,51,2.24,1,5,10
Vietnam,EXPANDED_ACCESS,NA,1,1,1,1,1
Vietnam,INTERVENTIONAL,EARLY_PHASE1,3,1,1,1,1
Vietnam,INTERVENTIONAL,NA,403,1.28,1,2,18
Vietnam,INTERVENTIONAL,PHASE1,30,1.1,1,1.1,2
Vietnam,INTERVENTIONAL,PHASE1/PHASE2,27,1.26,1,2,3
Vietnam,INTERVENTIONAL,PHASE2,88,2.02,1.5,4,7
Vietnam,INTERVENTIONAL,PHASE2/PHASE3,21,1.38,1,2,4
Vietnam,INTERVENTIONAL,PHASE3,279,3.19,3,6,15
Vietnam,INTERVENTIONAL,PHASE4,72,1.32,1,2,6
Vietnam,OBSERVATIONAL,NA,228,1.69,1,3,19
Virgin Islands,INTERVENTIONAL,NA,1,1,1,1,1
Virgin Islands,INTERVENTIONAL,PHASE3,1,1,1,1,1
Virgin Islands,INTERVENTIONAL,PHASE4,3,1,1,1,1
Virgin Islands,OBSERVATIONAL,NA,2,1,1,1,1
Yemen,INTERVENTIONAL,NA,17,1.06,1,1,2
Yemen,INTERVENTIONAL,PHASE3,2,1,1,1,1
Yemen,OBSERVATIONAL,NA,3,1,1,1,1
Zambia,INTERVENTIONAL,EARLY_PHASE1,1,1,1,1,1
Zambia,INTERVENTIONAL,NA,146,1.54,1,2,29
Zambia,INTERVENTIONAL,PHASE1,7,1.14,1,1.4,2
Zambia,INTERVENTIONAL,PHASE1/PHASE2,3,1.33,1,1.8,2
Zambia,INTERVENTIONAL,PHASE2,19,1.26,1,2,3
Zambia,INTERVENTIONAL,PHASE2/PHASE3,8,1.5,1,2.6,4
Zambia,INTERVENTIONAL,PHASE3,39,1.46,1,2.2,4
Zambia,INTERVENTIONAL,PHASE4,22,1.05,1,1,2
Zambia,OBSERVATIONAL,NA,84,1.57,1,3,15
Zimbabwe,INTERVENTIONAL,EARLY_PHASE1,2,1,1,1,1
Zimbabwe,INTERVENTIONAL,NA,62,2.69,1,3,32
Zimbabwe,INTERVENTIONAL,PHASE1,6,1.33,1,2,3
Zimbabwe,INTERVENTIONAL,PHASE1/PHASE2,9,1.44,1,3,3
Zimbabwe,INTERVENTIONAL,PHASE2,30,1.33,1,2.1,3
Zimbabwe,INTERVENTIONAL,PHASE2/PHASE3,5,1,1,1,1
Zimbabwe,INTERVENTIONAL,PHASE3,39,1.54,1,3,5
Zimbabwe,INTERVENTIONAL,PHASE4,12,1.17,1,1,3
Zimbabwe,OBSERVATIONAL,NA,47,1.72,1,3,10